id,basename,title,site_name,medium,medium_label,spoilers,sentiment,sentiment_label,scenario_id,focus,disclosure_position,body_characters,body_sha256,date,status
CKW-0012,chiikawa-demo-0012,ちいかわの短編アニメ — 好きな三人なのに乗れなかった [CKW-0012],アニメの感想,tv,テレビアニメ,1,negative,否定的,S02,音と日常,middle,537,bebe16687cc5c928b1ad66187e50e2aa44e28af7cdeb44bceccded04cdcdfc35,2026-01-12 11:00:00,Draft
CKW-0013,chiikawa-demo-0013,ちいかわの映画 — 期待していたものとの距離 [CKW-0013],アニメの感想,movie,映画,0,negative,否定的,S12,ハチワレの語り,none,407,093350bc3f29a46566443e697694501ba371bc05692200f4d6a5d87a11202c58,2026-03-26 12:00:00,Draft
CKW-0014,chiikawa-demo-0014,ちいかわの映画 — かわいさだけでは埋まらない [CKW-0014],アニメの感想,movie,映画,1,negative,否定的,S21,表情の作り方,middle,530,48de16c0cca10e5b382169483842e604508bd83c26859b77c81a4c0d75584c6e,2025-01-23 13:00:00,Draft
CKW-0015,chiikawa-demo-0015,ちいかわの短編アニメ — かわいさだけでは埋まらない [CKW-0015],アニメの感想,tv,テレビアニメ,0,negative,否定的,S05,声と緊張,none,420,71c69382adceed0679f444ef5ed2abf6a6fe19e2039e0e68ca01232257eb5192,2025-04-06 14:00:00,Draft
CKW-0016,chiikawa-demo-0016,ちいかわの短編アニメ — 見終わって残った物足りなさ [CKW-0016],アニメの感想,tv,テレビアニメ,1,negative,否定的,S14,夜の空気,middle,516,dcd82530ddc5033b37142539f383eb6af33d80e94ba76433d53c1e9a75ea16c3,2025-06-18 15:00:00,Draft
CKW-0017,chiikawa-demo-0017,ちいかわの映画 — 細部は好きでも全体が惜しい [CKW-0017],アニメの感想,movie,映画,0,negative,否定的,S24,余韻とさびしさ,none,410,4c018b1e70c39300c4629816f114019beb4a60f01c66360cf3f2b804ca7a259a,2025-08-30 16:00:00,Draft
CKW-0018,chiikawa-demo-0018,ちいかわの映画 — この空気をまた味わいたい [CKW-0018],アニメの感想,movie,映画,1,positive,肯定的,S08,成長の描き方,middle,518,aa55a565d37412d776b2c5318f17f91d8a3e474ed43bc5e53888f2ab7fde3f20,2025-11-11 17:00:00,Draft
CKW-0019,chiikawa-demo-0019,ちいかわの短編アニメ — 好きな三人なのに乗れなかった [CKW-0019],アニメの感想,tv,テレビアニメ,0,negative,否定的,S17,謎と分かりやすさ,none,403,c5aeb9a785de921bf4bb4e75e1fed3a11b1a7e44d62875691e409958fe03be96,2026-01-23 18:00:00,Draft
CKW-0020,chiikawa-demo-0020,ちいかわの短編アニメ — 見終わってから好きが増えた [CKW-0020],アニメの感想,tv,テレビアニメ,1,positive,肯定的,S01,友情と沈黙,tail,547,e06401269b1e44457662cea8f3a1259e0ec136816f70d53571f102bc3ed76314,2026-04-06 09:00:00,Draft
CKW-0021,chiikawa-demo-0021,ちいかわの映画 — 小さな仕草を何度も思い出す [CKW-0021],アニメの感想,movie,映画,0,positive,肯定的,S11,表情と遠慮,none,411,b5f99980f29b39efddc647d0ba4759a9cbd88036ad011cee01ff8ce9385243c5,2025-02-03 10:00:00,Draft
CKW-0022,chiikawa-demo-0022,ちいかわの映画 — 三人の距離が心に残った [CKW-0022],アニメの感想,movie,映画,1,positive,肯定的,S20,助け合いと動き,middle,514,60789126a6795f0d0f01d3e86e7e212667d1adeb7bf41fc7f6e0f56b6bb9f948,2025-04-17 11:00:00,Draft
CKW-0023,chiikawa-demo-0023,ちいかわの短編アニメ — 三人の距離が心に残った [CKW-0023],アニメの感想,tv,テレビアニメ,0,positive,肯定的,S04,うさぎの動き,none,415,4cf7da6599abfed5815c531ed65eee43c869cf1c73b57f83bc868a9f1b707837,2025-06-29 12:00:00,Draft
CKW-0024,chiikawa-demo-0024,ちいかわの短編アニメ — 静かな時間まで楽しめた [CKW-0024],アニメの感想,tv,テレビアニメ,1,positive,肯定的,S13,小さな失敗,tail,516,943735d4bf66afc02805a050e81c5bc09f4c6ca80e765581c38330e9690f998c,2025-09-10 13:00:00,Draft
CKW-0025,chiikawa-demo-0025,ちいかわの映画 — この空気をまた味わいたい [CKW-0025],アニメの感想,movie,映画,0,positive,肯定的,S23,料理と協力,none,397,b07af322feb0a01b7cdd9102fbbb70245fd91e0ed5b69865b32e897a9fd6c911,2025-11-22 14:00:00,Draft
CKW-0026,chiikawa-demo-0026,ちいかわの映画 — 期待していたものとの距離 [CKW-0026],アニメの感想,movie,映画,1,negative,否定的,S07,旅のテンポ,tail,547,44756bd7d0b50f90571126c05637807d599ccb86c48142f2fffbfdf9a22a8aae,2026-02-03 15:00:00,Draft
CKW-0027,chiikawa-demo-0027,ちいかわの短編アニメ — 見終わってから好きが増えた [CKW-0027],アニメの感想,tv,テレビアニメ,0,positive,肯定的,S16,待ち時間,none,418,9668c45a338242032f7a79c80a1593e893f69fef53e962d9623c97dd2a43fdb6,2026-04-17 16:00:00,Draft
CKW-0028,chiikawa-demo-0028,ちいかわの短編アニメ — 小さな仕草を何度も思い出す [CKW-0028],アニメの感想,tv,テレビアニメ,1,positive,肯定的,S25,居場所と気遣い,tail,534,e8e36b623725f05d17d1357aaafcac9e045fff34b64d922a272cf09dac241355,2025-02-14 17:00:00,Draft
CKW-0029,chiikawa-demo-0029,ちいかわの映画 — 見終わって残った物足りなさ [CKW-0029],アニメの感想,movie,映画,0,negative,否定的,S10,余白と静けさ,none,393,e1d5a99ed11d9b17a962f8b3148dd0d1e910b55003b63861bad35dbe3ff57ca1,2025-04-28 18:00:00,Draft
CKW-0030,chiikawa-demo-0030,ちいかわの映画 — 細部は好きでも全体が惜しい [CKW-0030],アニメの感想,movie,映画,1,negative,否定的,S19,物を大切にする気持ち,tail,533,7cefebb469024bd387a34e216ae372dbe58db9f1fab35bd7e5bd5437588eb56d,2025-07-10 09:00:00,Draft
CKW-0031,chiikawa-demo-0031,ちいかわの短編アニメ — 細部は好きでも全体が惜しい [CKW-0031],アニメの感想,tv,テレビアニメ,0,negative,否定的,S03,色と不安,none,425,013637ce72a85a0943484afc132f42ee9086922a2eb5d51880cc5122216f0f29,2025-09-21 10:00:00,Draft
CKW-0032,chiikawa-demo-0032,ちいかわの短編アニメ — 好きな三人なのに乗れなかった [CKW-0032],アニメの感想,tv,テレビアニメ,1,negative,否定的,S12,ハチワレの語り,middle,526,bc7ee13d7302c1b0fc21c1e34010b0d4b16b613080ba3aa505391ef72f6ebdaa,2025-12-03 11:00:00,Draft
CKW-0033,chiikawa-demo-0033,ちいかわの映画 — 期待していたものとの距離 [CKW-0033],アニメの感想,movie,映画,0,negative,否定的,S22,音楽と距離感,none,408,b5b1b75f93b689f91a1659849d98c833c1b1137cdbf24a553a2340d714c3c420,2026-02-14 12:00:00,Draft
CKW-0034,chiikawa-demo-0034,ちいかわの映画 — 小さな仕草を何度も思い出す [CKW-0034],アニメの感想,movie,映画,1,positive,肯定的,S06,背景美術,middle,534,4ed378859a773a19698816433244e66cc337f9ae42203cbbfc0f1848dba95727,2026-04-28 13:00:00,Draft
CKW-0035,chiikawa-demo-0035,ちいかわの短編アニメ — かわいさだけでは埋まらない [CKW-0035],アニメの感想,tv,テレビアニメ,0,negative,否定的,S15,視点と大きさ,none,415,a591df8843d8e878728b186cf96ac9484c3cf11e805df6b79a110be188997b39,2025-02-25 14:00:00,Draft
CKW-0036,chiikawa-demo-0036,ちいかわの短編アニメ — 見終わって残った物足りなさ [CKW-0036],アニメの感想,tv,テレビアニメ,1,negative,否定的,S24,余韻とさびしさ,middle,525,2a66c93d584350aacfa39c3b9d733d3103378ba1c0332022aed792eb09aef0ba,2025-05-09 15:00:00,Draft
CKW-0037,chiikawa-demo-0037,ちいかわの映画 — 静かな時間まで楽しめた [CKW-0037],アニメの感想,movie,映画,0,positive,肯定的,S09,追いかける場面,none,402,cd7a9413c5d1fe179b21a6a5d6099c3f89306c87d0c26c904e56a925719a01a0,2025-07-21 16:00:00,Draft
CKW-0038,chiikawa-demo-0038,ちいかわの映画 — この空気をまた味わいたい [CKW-0038],アニメの感想,movie,映画,1,positive,肯定的,S18,音のギャグ,middle,518,092203e292d2988f4d69a8c41d22f073501554d468cbd4038c73aa18c3c701ab,2025-10-02 17:00:00,Draft
CKW-0039,chiikawa-demo-0039,ちいかわの短編アニメ — この空気をまた味わいたい [CKW-0039],アニメの感想,tv,テレビアニメ,0,positive,肯定的,S02,音と日常,none,408,a0f33fa2f3119cd289845c0c70c8b18e106145934c571c49dad52f8f970f01d3,2025-12-14 18:00:00,Draft
CKW-0040,chiikawa-demo-0040,ちいかわの短編アニメ — 見終わってから好きが増えた [CKW-0040],アニメの感想,tv,テレビアニメ,1,positive,肯定的,S11,表情と遠慮,middle,539,caaf2b8c0546d1128814b8c76e4a5fcf00f8813b6a9f78c4a58f84d83f086a93,2026-02-25 09:00:00,Draft
CKW-0041,chiikawa-demo-0041,ちいかわの映画 — 小さな仕草を何度も思い出す [CKW-0041],アニメの感想,movie,映画,0,positive,肯定的,S21,表情の作り方,none,410,1f5c3e99c6dd298f600b1ef55deb1f9c4b6334cf36286baad79bfb380d392e96,2026-05-09 10:00:00,Draft
CKW-0042,chiikawa-demo-0042,ちいかわの映画 — 見終わって残った物足りなさ [CKW-0042],アニメの感想,movie,映画,1,negative,否定的,S05,声と緊張,middle,532,d1e21d6c171262fd5da52e0c4bf04918162f558829228031e5f354b5e1669c2a,2025-03-08 11:00:00,Draft
CKW-0043,chiikawa-demo-0043,ちいかわの短編アニメ — 三人の距離が心に残った [CKW-0043],アニメの感想,tv,テレビアニメ,0,positive,肯定的,S14,夜の空気,none,406,bf044fde66dc979e68d54fa2b1fdd487419ae46555b6ea4592de49791512c791,2025-05-20 12:00:00,Draft
CKW-0044,chiikawa-demo-0044,ちいかわの短編アニメ — 静かな時間まで楽しめた [CKW-0044],アニメの感想,tv,テレビアニメ,1,positive,肯定的,S23,料理と協力,middle,522,fb0d8bf76dc8a96c34023befbf77780162f3d75cba459e543b8924a023954127,2025-08-01 13:00:00,Draft
CKW-0045,chiikawa-demo-0045,ちいかわの映画 — 好きな三人なのに乗れなかった [CKW-0045],アニメの感想,movie,映画,0,negative,否定的,S08,成長の描き方,none,403,a821518e688502941ece8a6bb01445b8d47481df08a10a08401f9a450c7bf380,2025-10-13 14:00:00,Draft
CKW-0046,chiikawa-demo-0046,ちいかわの映画 — 期待していたものとの距離 [CKW-0046],アニメの感想,movie,映画,1,negative,否定的,S17,謎と分かりやすさ,middle,519,9a5a5c51e08aae967d25c51cc1fa4718b622e9f5c01d27a94acbd43370114898,2025-12-25 15:00:00,Draft
CKW-0047,chiikawa-demo-0047,ちいかわの短編アニメ — 期待していたものとの距離 [CKW-0047],アニメの感想,tv,テレビアニメ,0,negative,否定的,S01,友情と沈黙,none,427,7c51be4f51da4c4ba218e2e0c2dcd7f95e8d84ac1363952e2627bd555a735ace,2026-03-08 16:00:00,Draft
CKW-0048,chiikawa-demo-0048,ちいかわの短編アニメ — かわいさだけでは埋まらない [CKW-0048],アニメの感想,tv,テレビアニメ,1,negative,否定的,S10,余白と静けさ,tail,524,02abe4f1446c6d0a1e636e30ba5dfdf111aadc5482fa8eba63fbd047f30e0e3a,2025-01-05 17:00:00,Draft
CKW-0049,chiikawa-demo-0049,ちいかわの映画 — 見終わって残った物足りなさ [CKW-0049],アニメの感想,movie,映画,0,negative,否定的,S20,助け合いと動き,none,405,f11e4cdc0d09c65a78e4b4bcd9b5b12ae1499f7d557e838ebde058e40e923a82,2025-03-19 18:00:00,Draft
CKW-0050,chiikawa-demo-0050,ちいかわの映画 — 静かな時間まで楽しめた [CKW-0050],アニメの感想,movie,映画,1,positive,肯定的,S04,うさぎの動き,tail,536,dcf2769c911fecedffc8824310580fff1b97348db8a7e5a8a6cc1bb52533a808,2025-05-31 09:00:00,Draft
CKW-0051,chiikawa-demo-0051,ちいかわの短編アニメ — 細部は好きでも全体が惜しい [CKW-0051],アニメの感想,tv,テレビアニメ,0,negative,否定的,S13,小さな失敗,none,408,3ad31a3f14f0d4174cf31771bd41f34a79d71f2aaf9f3aefde0e9cd05ea5c903,2025-08-12 10:00:00,Draft
CKW-0052,chiikawa-demo-0052,ちいかわの短編アニメ — 好きな三人なのに乗れなかった [CKW-0052],アニメの感想,tv,テレビアニメ,1,negative,否定的,S22,音楽と距離感,tail,528,60d43698e5003ba10da8291d004695f266f89eb24d0f5a3902647aef99391c4e,2025-10-24 11:00:00,Draft
CKW-0053,chiikawa-demo-0053,ちいかわの映画 — 見終わってから好きが増えた [CKW-0053],アニメの感想,movie,映画,0,positive,肯定的,S07,旅のテンポ,none,410,7167265607fdffbae48adb8a6906123f4c55bcf219dac8c5c4a9bb56642c5084,2026-01-05 12:00:00,Draft
CKW-0054,chiikawa-demo-0054,ちいかわの映画 — 小さな仕草を何度も思い出す [CKW-0054],アニメの感想,movie,映画,1,positive,肯定的,S16,待ち時間,tail,537,1b8c28ede161810595841377b8c17862822f076dcf4f0ad87eebd4625968cd60,2026-03-19 13:00:00,Draft
CKW-0055,chiikawa-demo-0055,ちいかわの短編アニメ — かわいさだけでは埋まらない [CKW-0055],アニメの感想,tv,テレビアニメ,0,negative,否定的,S25,居場所と気遣い,none,418,6effe6197194135578eed4813d6a5c31c4a1d3adb981554cc518132bcf324964,2025-01-16 14:00:00,Draft
CKW-0056,chiikawa-demo-0056,ちいかわの短編アニメ — 三人の距離が心に残った [CKW-0056],アニメの感想,tv,テレビアニメ,1,positive,肯定的,S09,追いかける場面,middle,523,60cb942efdcb7c1df364d6f6994c67aec0854eca50228ad7382ee1a6ef6d5e5d,2025-03-30 15:00:00,Draft
CKW-0057,chiikawa-demo-0057,ちいかわの映画 — 静かな時間まで楽しめた [CKW-0057],アニメの感想,movie,映画,0,positive,肯定的,S19,物を大切にする気持ち,none,404,d3a3cf23adc0fa81e7ccb1bbc0b8812319ed3987fbbe9ae59e0ed3773e62a810,2025-06-11 16:00:00,Draft
CKW-0058,chiikawa-demo-0058,ちいかわの映画 — 好きな三人なのに乗れなかった [CKW-0058],アニメの感想,movie,映画,1,negative,否定的,S03,色と不安,middle,543,70ec9f3245b56cb1bacece28c4cdb05ffcf24cbdf7d0441651be0d57ed915bbb,2025-08-23 17:00:00,Draft
CKW-0059,chiikawa-demo-0059,ちいかわの短編アニメ — この空気をまた味わいたい [CKW-0059],アニメの感想,tv,テレビアニメ,0,positive,肯定的,S12,ハチワレの語り,none,406,b7254bf975255209824ee6b93e47e67bb4097c653c926cc142b9b57f8dae72a9,2025-11-04 18:00:00,Draft
CKW-0060,chiikawa-demo-0060,ちいかわの短編アニメ — 見終わってから好きが増えた [CKW-0060],アニメの感想,tv,テレビアニメ,1,positive,肯定的,S21,表情の作り方,middle,536,e7063a611a74956a11b67a72e11237eccfc11a8565e6a3b4e81c51916026bf2b,2026-01-16 09:00:00,Draft
CKW-0061,chiikawa-demo-0061,ちいかわの映画 — かわいさだけでは埋まらない [CKW-0061],アニメの感想,movie,映画,0,negative,否定的,S06,背景美術,none,416,48a36cf941bb860549952ef45dd9a5263f183e870ee5d4de7a0b174a6f957d87,2026-03-30 10:00:00,Draft
CKW-0062,chiikawa-demo-0062,ちいかわの映画 — 見終わって残った物足りなさ [CKW-0062],アニメの感想,movie,映画,1,negative,否定的,S15,視点と大きさ,middle,531,c1b8d77509c512ab36a99612f85435148ffd252459f378dea1b0104d6b762e8e,2025-01-27 11:00:00,Draft
CKW-0063,chiikawa-demo-0063,ちいかわの短編アニメ — 三人の距離が心に残った [CKW-0063],アニメの感想,tv,テレビアニメ,0,positive,肯定的,S24,余韻とさびしさ,none,402,eb2336eb73fffd49b19294b9ddeb33e388825b6d2d8e212ffe95efcb7df66957,2025-04-10 12:00:00,Draft
CKW-0064,chiikawa-demo-0064,ちいかわの短編アニメ — 細部は好きでも全体が惜しい [CKW-0064],アニメの感想,tv,テレビアニメ,1,negative,否定的,S08,成長の描き方,middle,535,324dde2166c51f25b885b725a8f4d46b9a4cb19ee89836be7f0c495621bddaa0,2025-06-22 13:00:00,Draft
CKW-0065,chiikawa-demo-0065,ちいかわの映画 — 好きな三人なのに乗れなかった [CKW-0065],アニメの感想,movie,映画,0,negative,否定的,S18,音のギャグ,none,400,d33169875f94a0f6666b8ea9eb5df0ea347e2c68e77f797944d16063983494b0,2025-09-03 14:00:00,Draft
CKW-0066,chiikawa-demo-0066,ちいかわの映画 — 見終わってから好きが増えた [CKW-0066],アニメの感想,movie,映画,1,positive,肯定的,S02,音と日常,middle,531,053ea8b6dd6aad59bbe31d53e78a281649fc93d7172484f2787505aee6dd6589,2025-11-15 15:00:00,Draft
CKW-0067,chiikawa-demo-0067,ちいかわの短編アニメ — 期待していたものとの距離 [CKW-0067],アニメの感想,tv,テレビアニメ,0,negative,否定的,S11,表情と遠慮,none,417,d62886ced1673456689773d4f28d998c6df4bc6662ddceba0b2fea0f14e37a41,2026-01-27 16:00:00,Draft
CKW-0068,chiikawa-demo-0068,ちいかわの短編アニメ — かわいさだけでは埋まらない [CKW-0068],アニメの感想,tv,テレビアニメ,1,negative,否定的,S20,助け合いと動き,middle,524,5bfd3aa223fabaa211157dfead225b129187a9ea1fcb9bd15e6ef3975f844f49,2026-04-10 17:00:00,Draft
CKW-0069,chiikawa-demo-0069,ちいかわの映画 — 三人の距離が心に残った [CKW-0069],アニメの感想,movie,映画,0,positive,肯定的,S05,声と緊張,none,405,a2984b0d0465638be5855dc74d55887621c6e8d5e0789c06c278e6d7cb308f6b,2025-02-07 18:00:00,Draft
CKW-0070,chiikawa-demo-0070,ちいかわの映画 — 静かな時間まで楽しめた [CKW-0070],アニメの感想,movie,映画,1,positive,肯定的,S14,夜の空気,middle,512,230c7ca1da10c78236e626d4c53fdf77260e84e4bbf517e3fea8e61699913e8e,2025-04-21 09:00:00,Draft
CKW-0071,chiikawa-demo-0071,ちいかわの短編アニメ — 細部は好きでも全体が惜しい [CKW-0071],アニメの感想,tv,テレビアニメ,0,negative,否定的,S23,料理と協力,none,408,150c4503ffcc4e8a951e589704d03bb27700df9709801025edb0f0b1bea08a33,2025-07-03 10:00:00,Draft
CKW-0072,chiikawa-demo-0072,ちいかわの短編アニメ — この空気をまた味わいたい [CKW-0072],アニメの感想,tv,テレビアニメ,1,positive,肯定的,S07,旅のテンポ,tail,542,019487f1ea5be9dd91b908142f32b281f52309b032d76be6f123a49632d5bbe6,2025-09-14 11:00:00,Draft
CKW-0073,chiikawa-demo-0073,ちいかわの映画 — 見終わってから好きが増えた [CKW-0073],アニメの感想,movie,映画,0,positive,肯定的,S17,謎と分かりやすさ,none,397,8d8edc4e3fdf4d8542969808e47de89a1d86e2cd456d59e679756e2716809200,2025-11-26 12:00:00,Draft
CKW-0074,chiikawa-demo-0074,ちいかわの映画 — かわいさだけでは埋まらない [CKW-0074],アニメの感想,movie,映画,1,negative,否定的,S01,友情と沈黙,tail,547,7cc093ed520b8a632adcd09d20db3ab6f1457f596bb491204877bd27d90508be,2026-02-07 13:00:00,Draft
CKW-0075,chiikawa-demo-0075,ちいかわの短編アニメ — 小さな仕草を何度も思い出す [CKW-0075],アニメの感想,tv,テレビアニメ,0,positive,肯定的,S10,余白と静けさ,none,404,b17805341f6dea279b5f3f903302439ee04dbb6f3f329cb01954779261cb5068,2026-04-21 14:00:00,Draft
CKW-0076,chiikawa-demo-0076,ちいかわの短編アニメ — 三人の距離が心に残った [CKW-0076],アニメの感想,tv,テレビアニメ,1,positive,肯定的,S19,物を大切にする気持ち,tail,531,5ee7586842eadbd15b31a9340d7691ecd938ce2acb45431e49f6d67f70df1428,2025-02-18 15:00:00,Draft
CKW-0077,chiikawa-demo-0077,ちいかわの映画 — 細部は好きでも全体が惜しい [CKW-0077],アニメの感想,movie,映画,0,negative,否定的,S04,うさぎの動き,none,417,49ae60785fd5601f947c64dbb9f76af0b874a5184cdae01dc1bbbdb9aedbc51b,2025-05-02 16:00:00,Draft
CKW-0078,chiikawa-demo-0078,ちいかわの映画 — 好きな三人なのに乗れなかった [CKW-0078],アニメの感想,movie,映画,1,negative,否定的,S13,小さな失敗,tail,517,44cdb021a9c1f57224cb52abf855bc38077090c22978e8b355ab03641e86cc37,2025-07-14 17:00:00,Draft
CKW-0079,chiikawa-demo-0079,ちいかわの短編アニメ — この空気をまた味わいたい [CKW-0079],アニメの感想,tv,テレビアニメ,0,positive,肯定的,S22,音楽と距離感,none,408,d9b1679593e0f43f7a2dd270f5e12c8ed94700fd17174082605af3db13c430a1,2025-09-25 18:00:00,Draft
CKW-0080,chiikawa-demo-0080,ちいかわの短編アニメ — 期待していたものとの距離 [CKW-0080],アニメの感想,tv,テレビアニメ,1,negative,否定的,S06,背景美術,middle,537,e02acc46fde24d8405bd9718f029eb268a47f19d574b80815c3fb73a777fc27c,2025-12-07 09:00:00,Draft
CKW-0081,chiikawa-demo-0081,ちいかわの映画 — かわいさだけでは埋まらない [CKW-0081],アニメの感想,movie,映画,0,negative,否定的,S16,待ち時間,none,407,626093b32c2cacf0cbb38585d36f49e14114e3891cffaaf191fd899776f2cd81,2026-02-18 10:00:00,Draft
CKW-0082,chiikawa-demo-0082,ちいかわの映画 — 見終わって残った物足りなさ [CKW-0082],アニメの感想,movie,映画,1,negative,否定的,S25,居場所と気遣い,tail,528,d3d3fc2c3dfddb32040ab978673237bb9e610d949879dd2d5221961410335611,2026-05-02 11:00:00,Draft
CKW-0083,chiikawa-demo-0083,ちいかわの短編アニメ — 見終わって残った物足りなさ [CKW-0083],アニメの感想,tv,テレビアニメ,0,negative,否定的,S09,追いかける場面,none,418,79f65cb5ab8287c82b596217749ce73910b41d213d389c5e47f204a8a10f6ae8,2025-03-01 12:00:00,Draft
CKW-0084,chiikawa-demo-0084,ちいかわの短編アニメ — 細部は好きでも全体が惜しい [CKW-0084],アニメの感想,tv,テレビアニメ,1,negative,否定的,S18,音のギャグ,middle,536,e2a6acdc06704427f8018a19d264f1fef136d21c2a3110247486c443b2447f83,2025-05-13 13:00:00,Draft
CKW-0085,chiikawa-demo-0085,ちいかわの映画 — この空気をまた味わいたい [CKW-0085],アニメの感想,movie,映画,0,positive,肯定的,S03,色と不安,none,405,a5117bd710cf80cf095e08cc9feeb986e0db467752abb5605b6990a10ac26bb0,2025-07-25 14:00:00,Draft
CKW-0086,chiikawa-demo-0086,ちいかわの映画 — 見終わってから好きが増えた [CKW-0086],アニメの感想,movie,映画,1,positive,肯定的,S12,ハチワレの語り,middle,523,278554498b3420267a1991723da505f79f66cb1da7e3604be6fdb1ded089c4ea,2025-10-06 15:00:00,Draft
CKW-0087,chiikawa-demo-0087,ちいかわの短編アニメ — 期待していたものとの距離 [CKW-0087],アニメの感想,tv,テレビアニメ,0,negative,否定的,S21,表情の作り方,none,410,86b34671392cc89cb93327e38086720e304cd4486d68a22edc46a1d53671a2e7,2025-12-18 16:00:00,Draft
CKW-0088,chiikawa-demo-0088,ちいかわの短編アニメ — 小さな仕草を何度も思い出す [CKW-0088],アニメの感想,tv,テレビアニメ,1,positive,肯定的,S05,声と緊張,middle,535,18d2664666bad8f317d80452abd55e832c16c60e0e7fe78749452a36b4b5cd2a,2026-03-01 17:00:00,Draft
CKW-0089,chiikawa-demo-0089,ちいかわの映画 — 三人の距離が心に残った [CKW-0089],アニメの感想,movie,映画,0,positive,肯定的,S15,視点と大きさ,none,402,4dde74049499acfc0bbac1f35019911635511b11e4c97af8dcf5cb0ef0f42b86,2026-05-13 18:00:00,Draft
CKW-0090,chiikawa-demo-0090,ちいかわの映画 — 静かな時間まで楽しめた [CKW-0090],アニメの感想,movie,映画,1,positive,肯定的,S24,余韻とさびしさ,middle,510,d260b50fe74150501dc51fe9b2b89663d59fd6e0487fed80ebae555bc7a635df,2025-03-12 09:00:00,Draft
CKW-0091,chiikawa-demo-0091,ちいかわの短編アニメ — 静かな時間まで楽しめた [CKW-0091],アニメの感想,tv,テレビアニメ,0,positive,肯定的,S08,成長の描き方,none,407,9b1291a6a4636432cacce83d65688d4ccd1adb3b78f7b981e40a8eec0ec2b95d,2025-05-24 10:00:00,Draft
